CustomerID,CustomerName,Age,Gender,Country,SignupDate,AnnualIncome,Churn,Category_1,Value_2,Metric_3,Category_4,Value_5,Metric_6,Category_7,Value_8,Metric_9,Category_10,Value_11,Metric_12,Category_13,Value_14,Metric_15,Category_16,Value_17,Metric_18,Category_19,Value_20,Metric_21,Category_22,Value_23,Metric_24,Category_25,Value_26,Metric_27,Category_28,Value_29,Metric_30,Category_31,Value_32,Metric_33,Category_34,Value_35,Metric_36,Category_37,Value_38,Metric_39,Category_40,Value_41,Metric_42,Category_43,Value_44,Metric_45,Category_46,Value_47,Metric_48,Category_49,Value_50,Metric_51,Category_52,Value_53,Metric_54,Category_55,Value_56,Metric_57,Category_58,Value_59,Metric_60,Category_61,Value_62,Metric_63,Category_64,Value_65,Metric_66,Category_67,Value_68,Metric_69,Category_70,Value_71,Metric_72,Category_73,Value_74,Metric_75,Category_76,Value_77,Metric_78,Category_79,Value_80,Metric_81,Category_82,Value_83,Metric_84,Category_85,Value_86,Metric_87,Category_88,Value_89,Metric_90,Category_91,Value_92,Metric_93,Category_94,Value_95,Metric_96,Category_97,Value_98,Metric_99,Category_100,Value_101,Metric_102,Category_103,Value_104,Metric_105,Category_106,Value_107,Metric_108,Category_109,Value_110,Metric_111,Category_112,Value_113,Metric_114,Category_115,Value_116,Metric_117,Category_118,Value_119,Metric_120,Category_121,Value_122,Metric_123,Category_124,Value_125,Metric_126,Category_127,Value_128,Metric_129,Category_130,Value_131,Metric_132,Category_133,Value_134,Metric_135,Category_136,Value_137,Metric_138,Category_139,Value_140,Metric_141,Category_142,Value_143,Metric_144,Category_145,Value_146,Metric_147,Category_148,Value_149,Metric_150,Category_151,Value_152,Metric_153,Category_154,Value_155,Metric_156,Category_157,Value_158,Metric_159,Category_160,Value_161,Metric_162,Category_163,Value_164,Metric_165,Category_166,Value_167,Metric_168,Category_169,Value_170,Metric_171,Category_172,Value_173,Metric_174,Category_175,Value_176,Metric_177,Category_178,Value_179,Metric_180,Category_181,Value_182,Metric_183,Category_184,Value_185,Metric_186,Category_187,Value_188,Metric_189,Category_190,Value_191,Metric_192
2685, Jane Smith ,30,Male,KENYA,14-07-2020,,Yes,LOW,unknown,N/A,,269.7,N/A,High,122.06,,,,,High,unknown,N/A,LOW,,,High,,70, medium,,,,unknown,N/A,LOW,39.45,N/A,,unknown,,High,,,High,unknown,N/A,LOW,unknown,,LOW,284.48,N/A, medium,,,LOW,,95,LOW,unknown,N/A,,124.88,N/A,,unknown,36,,,,High,,,High,,, medium,unknown,,LOW,unknown,N/A,LOW,27.46,11, medium,46.11,, medium,unknown,N/A,,unknown,,High,,N/A,LOW,313.44,N/A,LOW,,,LOW,,N/A,LOW,unknown,N/A, medium,unknown,33,LOW,unknown,N/A,High,76.35,,LOW,418.01,35, medium,,N/A,,unknown,,High,unknown,,LOW,,18,High,136.91,,High,unknown,,,332.26,,,191.64,,,unknown,,High,,, medium,395.26,,High,,, medium,,,High,213.16,N/A, medium,unknown,, medium,154.29,39,,333.7,,LOW,unknown,51, medium,209.42,N/A,High,,93, medium,26.47,,LOW,,,LOW,,46,High,unknown,N/A,LOW,unknown,,LOW,unknown,
1769, Jane Smith ,40,F,Nigeria,2022/03/14,50000,,LOW,,,,,N/A, medium,,, medium,unknown,,LOW,,N/A,,,, medium,unknown,,,unknown,,High,unknown,,,,, medium,unknown,, medium,,, medium,14.14,N/A,High,,N/A,High,unknown,97,,,18,,215.0,,LOW,447.79,38,,124.88,N/A,LOW,,,High,,N/A,,344.12,,LOW,399.42,54,,331.3,N/A, medium,unknown,,High,27.46,11, medium,,6,,,N/A,High,145.67,,LOW,,, medium,unknown,,High,,N/A,High,,85,LOW,,, medium,,, medium,326.95,N/A,,76.35,,,unknown,35,High,485.6,, medium,333.16,,LOW,unknown,N/A, medium,20.75,N/A,,136.91,,High,,,LOW,unknown,,LOW,,, medium,,,LOW,unknown,, medium,unknown,, medium,unknown,N/A,LOW,,94,LOW,unknown,, medium,,,,unknown,,,333.7,60,High,140.32,51, medium,unknown,,LOW,161.02,N/A,High,unknown,N/A,,288.03,97,High,,,LOW,,N/A,High,unknown,N/A,,unknown,
7949,MICHAEL Brown,40,Male,KENYA,2021-01-05,50000,Yes,LOW,133.6,,High,unknown,N/A,,unknown,,,227.49,48,,,,LOW,129.64,N/A,High,,,High,,, medium,302.84,68,LOW,39.45,N/A, medium,139.35,,,320.3,N/A,,unknown,7,LOW,unknown,N/A,LOW,284.48,97,LOW,156.01,,,unknown,,,unknown,38,,124.88,,,,,,,74,High,344.12,92,High,,54,High,unknown,N/A, medium,,,LOW,unknown,N/A, medium,unknown,,High,,N/A,High,145.67,, medium,,,LOW,313.44,N/A,LOW,254.2,,High,62.12,, medium,,30,,,,High,,, medium,76.35,N/A,LOW,unknown,,,unknown,N/A,,333.16,94,,79.8,10,LOW,unknown,,,136.91,,,449.54,,High,unknown,, medium,unknown,N/A, medium,194.3,, medium,unknown,,High,395.26,, medium,unknown,20,,261.85,N/A,High,213.16,N/A,High,338.72,N/A,High,unknown,,High,333.7,N/A, medium,140.32,,High,,N/A, medium,,N/A, medium,unknown,,,unknown,,High,unknown,,LOW,201.06,,LOW,59.12,3, medium,,
3433, Jane Smith ,N/A,F,ghana ,2022/03/14,N/A,0,High,unknown,N/A,LOW,269.7,16,,,,LOW,227.49,48,,unknown,N/A,LOW,,N/A,LOW,409.05,,LOW,unknown,, medium,,, medium,unknown,, medium,139.35,72,High,,, medium,unknown,,LOW,unknown,,,284.48,97,,unknown,18, medium,,, medium,unknown,N/A,High,unknown,,LOW,,,High,unknown,,LOW,,,LOW,399.42,,LOW,,,,225.66,N/A, medium,27.46,N/A, medium,unknown,,LOW,,,,145.67,,,89.56,,LOW,313.44,,,unknown,74,High,,85, medium,302.73,N/A,LOW,unknown,,High,unknown,,,,25, medium,unknown,, medium,unknown,92, medium,,,LOW,79.8,,High,20.75,N/A,LOW,136.91,, medium,449.54,N/A,LOW,unknown,, medium,191.64,N/A,High,unknown,,,430.2,N/A,,395.26,26,,461.98,, medium,261.85,94, medium,unknown,, medium,unknown,,High,154.29,,,,,High,,,High,unknown,,,,,LOW,26.47,,,unknown,97,,,,LOW,201.06,N/A,LOW,,N/A,,unknown,
6311,john doe,25,Male,ghana ,2021-01-05,N/A,0,LOW,133.6,, medium,269.7,,,,N/A,,unknown,,,,,LOW,129.64,,,unknown,,High,unknown,N/A,,302.84,,High,,,,139.35,72, medium,320.3,,,unknown,,High,unknown,, medium,284.48,97, medium,unknown,18,High,,,High,,38,,unknown,,High,unknown,,High,,74,,unknown,92,LOW,unknown,N/A,LOW,331.3,,,225.66,18,,,11, medium,unknown,,LOW,152.74,N/A,,unknown,11,LOW,unknown,N/A,High,,,,,N/A,High,62.12,N/A,LOW,302.73,,,,33, medium,unknown,,High,76.35,,,418.01,N/A, medium,unknown,N/A,High,333.16,94,LOW,,10,,,18,High,unknown,69, medium,,,,332.26,,,,26,High,194.3,N/A,LOW,,, medium,395.26,,High,unknown,,LOW,unknown,N/A, medium,,,LOW,unknown,38,High,unknown,39,,unknown,N/A,,,51, medium,,,,161.02,,,,, medium,unknown,,High,unknown,46,,201.06,, medium,,N/A, medium,,
6051,,40,female,,14-07-2020,100000,, medium,133.6,,LOW,unknown,,LOW,122.06,N/A,LOW,227.49,48,,,12,High,,, medium,,N/A,,unknown,N/A,High,unknown,, medium,unknown,,High,139.35,N/A,,unknown,,LOW,,7, medium,unknown,67,,unknown,N/A,,,N/A, medium,,,LOW,447.79,,LOW,,,High,,N/A, medium,,74, medium,unknown,,,unknown,54, medium,unknown,,,,18,,unknown,,High,unknown,N/A,,unknown,,LOW,,, medium,unknown,,LOW,,,,254.2,N/A,High,,N/A, medium,unknown,,,unknown,N/A,High,326.95,, medium,,N/A,LOW,unknown,N/A, medium,unknown,N/A, medium,unknown,,LOW,,N/A,LOW,20.75,N/A,High,,,High,,N/A,,unknown,,LOW,unknown,N/A,,,, medium,unknown,, medium,,,High,unknown,, medium,,N/A, medium,213.16,32, medium,338.72,38, medium,154.29,,High,unknown,N/A,High,140.32,51,,unknown,94, medium,161.02,,LOW,,85,LOW,288.03,,,unknown,,High,201.06,, medium,unknown,N/A,,,
7420,anna-jones,35,,Nigeria,,75k,0, medium,unknown,,High,269.7,,High,,39,High,227.49,, medium,,,,129.64,,,unknown,,LOW,,N/A, medium,302.84,, medium,39.45,89,High,unknown,72, medium,unknown,60,LOW,unknown,N/A,LOW,,,,,97,LOW,156.01,N/A,LOW,,,,447.79,N/A, medium,,, medium,,N/A,LOW,unknown,,High,344.12,,LOW,,54,High,,23,High,unknown,, medium,,,High,46.11,,,,N/A,High,145.67,N/A,High,89.56,19,,313.44,N/A, medium,,N/A,LOW,unknown,, medium,,N/A,High,unknown,, medium,,N/A,LOW,76.35,N/A,High,unknown,,,unknown,N/A,High,,94,LOW,,10, medium,,,High,,69,High,,,LOW,332.26,N/A, medium,unknown,26, medium,194.3,N/A,High,430.2,, medium,395.26,26, medium,461.98,, medium,,,,,,High,unknown,, medium,,N/A,High,unknown,60, medium,140.32,51, medium,,N/A,,161.02,,High,,85, medium,,,High,unknown,46,,,,,unknown,3,,unknown,N/A
2184, Jane Smith ,,M,ghana ,,,No,High,unknown,,LOW,,,,,N/A,High,unknown,,,270.51,12,High,,, medium,unknown,N/A,LOW,unknown,, medium,302.84,N/A,,39.45,,High,,,LOW,unknown,,High,14.14,N/A,High,,,,unknown,,,156.01,N/A, medium,215.0,,LOW,447.79,,,124.88,,LOW,223.76,36, medium,325.81,N/A,LOW,344.12,N/A, medium,unknown,,,,,,225.66,18,LOW,,11,High,46.11,,LOW,unknown,,,145.67,, medium,unknown,19,High,313.44,,LOW,254.2,74, medium,,85,,,30,,312.26,N/A,,,49,High,unknown,N/A,,418.01,35,,,92, medium,unknown,94,High,,10,,20.75,,High,unknown,N/A,,449.54,15,LOW,,,,,N/A, medium,194.3,,,430.2,,High,unknown,, medium,unknown,,,261.85,N/A,High,,32,LOW,338.72,N/A,High,unknown,N/A,LOW,333.7,60,LOW,140.32,N/A,,unknown,94,High,unknown,,High,unknown,N/A, medium,,, medium,unknown,46,,201.06,,LOW,59.12,N/A, medium,,N/A
5555,john doe,25,F,,14-07-2020,100000,1, medium,133.6,98,,,N/A,High,,N/A,LOW,unknown,N/A, medium,,N/A,,129.64,, medium,unknown,N/A, medium,,65, medium,unknown,, medium,,, medium,,,,320.3,,LOW,,N/A, medium,,,,unknown,,,unknown,,,unknown,95,,unknown,N/A,,,N/A,High,223.76,N/A,LOW,325.81,74,LOW,,, medium,,,,,N/A,,225.66,18,,,,,unknown,, medium,unknown,41,LOW,unknown,,High,89.56,, medium,,, medium,unknown,74,LOW,,,High,,N/A,LOW,unknown,N/A,High,326.95,,High,unknown,,,418.01,, medium,,92,,333.16,N/A,,unknown,,High,unknown,,High,136.91,69, medium,,15, medium,unknown,, medium,,N/A,,,,LOW,,3,LOW,,26,High,unknown,20,LOW,unknown,,,unknown,,,,38,LOW,154.29,39,,333.7,,High,,51,High,unknown,94,,,,,,,LOW,unknown,97, medium,,N/A, medium,unknown,97, medium,,,High,,89
4385,anna-jones,25,,Nigeria,,N/A,, medium,133.6,,LOW,269.7,,LOW,,,,227.49,,,270.51,, medium,unknown,, medium,,70,High,,,High,unknown,, medium,39.45,, medium,unknown,,High,,,LOW,,,LOW,,67,,unknown,,LOW,156.01,,LOW,unknown,,LOW,447.79,,LOW,,,High,223.76,,,325.81,,High,,92,High,unknown,,High,,,,225.66,N/A, medium,27.46,N/A,High,46.11,6,High,,,LOW,,11,High,,19,,313.44,52,LOW,unknown,N/A,,,, medium,302.73,, medium,312.26,,LOW,326.95,,,,, medium,418.01,N/A, medium,,,LOW,,,High,,N/A,,unknown,,High,,N/A,,449.54,15,LOW,,, medium,,26,High,194.3,,,,, medium,unknown,,High,unknown,20,LOW,,,,,32, medium,,,LOW,,39,LOW,333.7,, medium,140.32,51,LOW,209.42,N/A,High,161.02,N/A,High,,N/A,High,,97, medium,34.08,N/A,LOW,unknown,, medium,59.12,3,LOW,313.09,
7396,,25,M,ghana ,,,Yes,LOW,,,High,,,,unknown,N/A,High,,48,LOW,unknown,N/A, medium,129.64,,LOW,unknown,,,292.48,N/A,,302.84,N/A,,,,LOW,unknown,,High,unknown,,LOW,14.14,,LOW,,67,High,284.48,97,High,,,LOW,,N/A, medium,,,,124.88,98,LOW,,N/A,LOW,unknown,N/A,LOW,344.12,,High,unknown,54, medium,331.3,23,LOW,unknown,18,High,27.46,, medium,unknown,6,LOW,,, medium,145.67,11, medium,89.56,,LOW,,,High,unknown,,High,62.12,,High,302.73,N/A,,unknown,, medium,326.95,,LOW,,N/A, medium,418.01,35,High,unknown,N/A, medium,unknown,,,,, medium,,18,High,unknown,,High,,,LOW,332.26,,,191.64,,High,unknown,,,430.2,N/A, medium,,26, medium,461.98,N/A,LOW,261.85,,High,213.16,, medium,,,,154.29,, medium,333.7,,,unknown,, medium,209.42,,High,unknown,,LOW,unknown,, medium,unknown,N/A,LOW,,N/A,,unknown,97,High,59.12,,LOW,313.09,
9666,anna-jones,N/A,M,ghana ,2021-01-05,N/A,No, medium,,,,269.7,,LOW,122.06,, medium,,N/A,High,,, medium,129.64,42,High,,N/A,,292.48,65,,unknown,,,,89,,,,LOW,unknown,60,,unknown,N/A,LOW,unknown,,LOW,,,,,N/A,High,unknown,,High,,N/A,High,unknown,N/A, medium,unknown,,,,,,,N/A, medium,399.42,,LOW,unknown,N/A, medium,,18,LOW,,, medium,46.11,,High,152.74,N/A,High,145.67,11,High,unknown,,High,,,LOW,unknown,,High,62.12,N/A, medium,302.73,N/A,,,33,LOW,326.95,,High,unknown,N/A,High,,,,,N/A, medium,unknown,,,unknown,N/A,High,,18,High,136.91,,LOW,unknown,N/A,High,332.26,,,unknown,,,unknown,,,,N/A,LOW,,, medium,unknown,20,High,261.85,,High,,32,,,,,,, medium,,,,unknown,,High,,, medium,,N/A,,,85,,unknown,N/A,High,34.08,46,LOW,,N/A, medium,,3, medium,unknown,
3558,john doe,40,Male,Nigeria,14-07-2020,,,High,unknown,98,LOW,unknown,,LOW,122.06,,High,unknown,48,LOW,,12,,129.64,, medium,409.05,,LOW,unknown,65,,unknown,,High,,,,,,,unknown,,,,, medium,397.03,, medium,unknown,,,156.01,,High,215.0,95,LOW,447.79,N/A,High,,, medium,223.76,36,High,,,LOW,unknown,N/A,High,,54,LOW,331.3,23, medium,unknown,,LOW,27.46,,,,N/A,High,unknown,,LOW,,11,,unknown,N/A,LOW,unknown,52,LOW,,,LOW,unknown,85,LOW,unknown,, medium,312.26,,LOW,,49,,unknown,,LOW,418.01,, medium,,92,High,unknown,94,,79.8,N/A,High,,N/A,LOW,,,LOW,449.54,15,,,96,High,unknown,N/A,High,unknown,,High,430.2,, medium,,26,,unknown,N/A, medium,,, medium,unknown,,LOW,,N/A,High,unknown,39, medium,unknown,,LOW,,N/A,High,209.42,,,,93, medium,26.47,, medium,288.03,N/A, medium,,,High,201.06,,LOW,,,,,
